"pc_1";"pc_2";"pc_3";"pc_4";"pc_5";"pc_6";"pc_7";"pc_8";"pc_9";"pc_10";"pc_11";"pc_12"
-1.0803069717883802;-1.3110621750631073;-0.00891908618517498;-1.0690493550880213;0.20433904978989148;0.2290566375790763;-0.13746175836505184;-0.044653887632579936;0.018524898721296118;-0.02377221042381765;0.49172037016756204;-0.03197458873525932
1.942505576975098;0.1733583738098865;-0.9144314110984066;-1.1161206749959527;-0.026657896078008753;0.25682137676569905;-0.1378743758150553;0.019915124499513714;-0.014154654077358914;-0.1836045217482491;0.16980022513884152;0.055133228114329635
0.804183454891488;-0.4224043550817478;-0.5715539334234911;-0.4475802522809826;0.06527501355669195;0.20871689270971763;-0.07221915426573715;-0.045372256057638095;0.037293849465206974;-0.007261387861393083;0.6556569295116548;-0.020381110503039097
-0.9883232218903815;-0.47322966691492674;0.12594635957311442;1.4992849866152187;-0.300419264706279;-0.3048061802316693;-0.2632953430545369;0.02276994652544507;-0.09820862406787498;0.18460727780570182;0.2215160716853448;0.33043482546792396
0.12424849151378399;-1.4474750778561498;-0.22381917954251246;0.06453679813208904;-0.04880342064644577;0.1630570486141153;0.24226444039434009;-0.253536757655365;0.10611150427337025;-0.5864369863080358;0.8092236867654339;-0.5106233029547262
-1.6832957684390673;-0.42344014137712205;0.1064407342549882;-0.7768012264818963;-0.25169726786171137;0.5765599120475413;0.11385875694077348;-0.3439111282481151;0.6927689107653088;-0.6057839979597311;0.9264089476778933;-0.19044751881763436
-1.27935944998007;-1.53724736320324;-0.2701231394163035;-0.06514248941689221;0.0037003374516732246;-0.0931859713121727;-0.36692917594715285;0.6391678079899996;-0.3765620975714763;1.3364215924424079;-0.81205747854371;0.5919978620805985
-2.956491928626924;1.4487489283440946;-1.0794844643046433;-0.38720646591685337;0.06779692213453395;0.11822881819600092;-0.29094465435756506;0.44940577861121095;-0.3100207725186535;1.131454623260275;-0.18239392046212555;-1.3263487678267871
-1.4547607588497926;1.1658000718554087;0.6006320283011424;0.3778362846485092;0.9726527677599137;0.21043778042408018;1.0038905385175785;-0.30890281645517803;0.3086924882041259;-0.4137403033530673;-0.1638943755869896;-0.13674820532114682
-2.5249552074484436;1.0640246471202435;-1.2217922069337073;-1.3698028228962373;0.25553755317299376;0.25277655733721266;-0.529471211525059;0.6322326154661584;-0.4769374804481912;1.2229811393570416;0.015372824626203943;-0.18729576114581026
2.3355932577209098;-4.056108335338252;0.5665885204372844;0.051464119821898885;0.12547093237992324;-0.013671845193630485;0.040365937592139106;-0.033272744823579836;0.01737303096083212;-0.11954814993604287;-0.3295292391638892;-0.3598239262201228
-1.5466614196534463;0.7593199447922353;0.5313935096767937;-0.9142281063686011;0.8231676832309966;0.9220773504547767;-0.7268808881215487;-0.6159468821657831;-0.5617002967023649;0.7047767714834722;0.2995945120908974;-0.2628591933610613
0.2266483080846265;-0.06266853232474602;-0.13977912327376849;-0.208518612362225;1.1041334319665213;-0.019533776264808133;0.9733966055099939;0.34894204910121707;-0.08493174255309989;0.5307168775568208;0.5536153466890273;0.3497838108206959
3.234022573601077;-9.714553351717013;2.9499594599737433;0.2827087621497968;0.02442808550550804;0.42898968308563024;0.6593753337969586;-1.2188722791603022;1.2131572281883471;-3.564450874783472;0.03532693536727809;-2.6474994351415937
-2.142206280604218;0.8470836863260048;-0.14435127181434804;-0.6300822601512238;0.3817156437875052;0.05472004456732987;0.03950556859337889;0.07494684676634664;0.08321644888333238;-0.43488750553674077;-0.10044191852146409;0.1197646051191873
1.477232358088428;-0.013537345802427145;-0.964896700117691;0.19394292242710554;-0.38486443636171463;-0.09165659792297863;0.02951357527019962;0.059539033455828325;-0.04489062386457107;0.029495492645391985;0.5137764672036295;0.19729064168913074
0.5793402889816496;-0.4430086654026851;-0.513457223144146;-0.31408368456129254;-0.0339259162545809;0.14287520925109423;-0.03284223250440531;-0.06315302751993923;0.020921791188978536;-0.07132146768372935;0.4098782162467591;0.01342860960707306
-1.0263930685821359;-1.1545756705990085;-0.18497474291472288;1.592018814157421;-0.3613110715515149;-0.19374857793307582;0.2513160797780094;-0.1852349068850252;0.10681740442589681;0.17782149412732334;0.8956807720632749;0.018386786308662827
-3.2309865738570993;2.599632685133671;-0.9159555085295299;1.3337748170984025;-0.365483719508225;-0.165430369127615;0.19835133775193484;-0.13592646585653648;0.1906758382873888;-0.27461023201515133;0.5926452190413438;0.309403178689773
1.3646913301306054;-4.653494388693254;0.6882784604738231;-0.9326225964917421;0.32346876346880504;0.20570250166002763;-0.10881872119644025;-0.05637114149319816;-0.09974473273430969;-0.13019780005768233;-0.34931846748268586;-0.3529145411341936
-2.2184863855347;1.1490045703851572;-0.6899050160328586;-0.04269575006583488;0.03512454348087221;-0.19366001791011656;-0.1939562872841162;0.5892660784088395;-0.40592162156103617;0.6083187062503703;-1.8875433254875316;0.6490756017238883
